"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "JavaScript", "Properties", "XML", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\Web\aladin-reb\src\features\subject\services\use-create-subject.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\Web\aladin-reb\src\features\subject\services\use-hide-subject.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Web\aladin-reb\src\features\subject\services\use-subject.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"d:\Web\aladin-reb\src\features\subject\services\use-update-subject.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
"d:\Web\aladin-reb\src\features\university\components\image-view.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 9, 31
"d:\Web\aladin-reb\src\features\university\components\listing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Web\aladin-reb\src\features\university\services\use-create-institution.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 11, 58
"d:\Web\aladin-reb\src\features\university\services\use-get-all-institution.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Web\aladin-reb\src\features\university\services\use-get-institution-by-id.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\Web\aladin-reb\src\features\university\services\useGetInstitution.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 7, 31
"d:\Web\aladin-reb\src\hooks\use-async-effect.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
"d:\Web\aladin-reb\src\hooks\use-breadcrumbs.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26
"d:\Web\aladin-reb\src\hooks\use-button.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 63
"d:\Web\aladin-reb\src\hooks\use-component-default-props.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
"d:\Web\aladin-reb\src\hooks\use-dom-ref.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\Web\aladin-reb\src\hooks\use-editor-image.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 19
"d:\Web\aladin-reb\src\hooks\use-image-drop.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"d:\Web\aladin-reb\src\hooks\use-load-image.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Web\aladin-reb\src\hooks\use-match-paths.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Web\aladin-reb\src\hooks\use-modal-route-transition.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Web\aladin-reb\src\hooks\use-query-pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 7, 13, 50
"d:\Web\aladin-reb\src\hooks\use-redirect.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\Web\aladin-reb\src\hooks\use-step.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\Web\aladin-reb\src\hooks\use-sync-query-params.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
"d:\Web\aladin-reb\src\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 5, 18
"d:\Web\aladin-reb\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 3, 7
"d:\Web\aladin-reb\src\mantine.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Web\aladin-reb\src\modules\auth-router\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 26, 150
"d:\Web\aladin-reb\src\modules\feature-flag-manager\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 12, 22, 136
"d:\Web\aladin-reb\src\modules\mantine-ripple\components\ripple-action-icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"d:\Web\aladin-reb\src\modules\mantine-ripple\components\ripple-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"d:\Web\aladin-reb\src\modules\mantine-ripple\components\ripple.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 8, 65
"d:\Web\aladin-reb\src\modules\mantine-ripple\hooks\use-ripple.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
